id,revenue
3001,4764150.500596958
3002,2000215.7584733556
3003,9038103.325111568
3004,15312273.234980257
3005,969264.5675087172
3006,1574177.5464863165
3007,2610888.8341158656
3008,34167664.57076884
3009,23765043.810935225
3010,471011160.28850865
3011,354935.707332009
3012,123049.28192327092
3013,29005874.759001438
3014,434976.0522627621
3015,22436873.470231384
3016,47001.84546952735
3017,93796923.60423957
3018,188269830.9581874
3019,12123642.78640913
3020,473066211.5826608
3021,22520382.793122023
3022,26966156.141239665
3023,85914.97617224939
3024,10575027.023630131
3025,362206.12268266967
3026,92116412.65912794
3027,3170742.2185599227
3028,108565897.514212
3029,206079.15512756933
3030,15227280.205211354
3031,4842804.582638879
3032,3515570.036881846
3033,2447.064355818027
3034,240023.7793394556
3035,289433.08183510834
3036,33333297.906009678
3037,53398303.669042446
3038,29542440.959552586
3039,7260649.6238580225
3040,1821180.4920612632
3041,18856900.3580823
3042,2697935.9915397614
3043,5464289.377370516
3044,1813122.7965111963
3045,627169615.3981588
3046,888802.0781400733
3047,837432.6826243575
3048,23522891.46501422
3049,36368741.11929914
3050,38782347.809659325
3051,398.93647994359367
3052,18889707.60748749
3053,132835.97021238788
3054,181569.84935028764
3055,47114108.68518489
3056,48407.60198858901
3057,14657335.897706574
3058,230852858.39422637
3059,378965.96674634865
3060,89037290.02711312
3061,30075774.14065654
3062,4804028.877898958
3063,8570548.7845474
3064,43247193.38611736
3065,45510425.317268394
3066,42122478.10456002
3067,162947.36301674982
3068,93903455.59881169
3069,265549309.97027415
3070,873290.6986019808
3071,3351616.5059206346
3072,422410028.84031093
3073,3025480.7979131187
3074,364595.3891107761
3075,77504568.66868417
3076,127899897.40077958
3077,2516321.0151541336
3078,84917370.39490356
3079,37222091.347974956
3080,164994293.75643802
3081,15808409.874977151
3082,3108547.8702204786
3083,7710591.215652587
3084,1691.2086259803764
3085,19880047.495584168
3086,65647768.397971794
3087,62521.01068319415
3088,386978.6755202259
3089,1742.9565649440106
3090,46161628.48279481
3091,13038113.13365192
3092,2167866.4132664544
3093,205977956.03559566
3094,136916578.7335724
3095,32057295.954671983
3096,1613187.9133040085
3097,488708829.21940064
3098,29638238.14934165
3099,50070158.85988093
3100,8340019.804111033
3101,12549493.000621412
3102,140379.52980943603
3103,1548288.6770990721
3104,1493459.2812076197
3105,52907044.29181421
3106,67112021.1227606
3107,33901445.71736251
3108,7498199.663887825
3109,9610444.69523608
3110,366068143.21113485
3111,2187308.6247710255
3112,126376.015427579
3113,2122870.2583792806
3114,18581224.89656681
3115,12227223.257606922
3116,6335490.392473214
3117,586276.6716812545
3118,568436.3958743579
3119,299938313.9198934
3120,29012508.543780148
3121,239760.32546782948
3122,5833913.536640624
3123,21074763.761543464
3124,521969.3947040544
3125,510441.9642827592
3126,29685653.170573305
3127,11750414.589163577
3128,19513473.905422594
3129,282902066.37536293
3130,11559263.214679155
3131,897025.8255048855
3132,9127466.682583898
3133,1032726.3234081579
3134,12556425.34326846
3135,2574157.2432954777
3136,4071035.8137490633
3137,23074405.3753584
3138,532173.6877866765
3139,14856188.176124483
3140,155230370.9856337
3141,6887987.737219057
3142,483017.3711062648
3143,229138441.04561216
3144,4258512.884622257
3145,1793585.7428529488
3146,1171275.488814976
3147,4923537.967601656
3148,1001195.5266462527
3149,14772998.51808849
3150,54205758.5392255
3151,11659258.248157024
3152,37997607.87000723
3153,692923.9827594946
3154,2921506.1318614674
3155,33280397.58872692
3156,3587101.2620299524
3157,15544174.770239092
3158,205741392.20194775
3159,5856188.239382324
3160,17989306.248664428
3161,231789.94298163618
3162,1924338.2079551748
3163,115987116.3453035
3164,1723231.0037929055
3165,121651.88840407439
3166,196621.39910447565
3167,77927359.70437795
3168,764428.2956982243
3169,20204999.063418992
3170,9033141.61762609
3171,21422444.10728022
3172,39872368.76115609
3173,1042394.5642448998
3174,195484.49355845223
3175,10387342.708299909
3176,78378755.78679927
3177,105724881.14887665
3178,2034201.884393887
3179,8344614.281786633
3180,1203868.2389108732
3181,265632.1569042302
3182,171706286.68949226
3183,25451050.66967304
3184,34996946.07853573
3185,80613769.447905
3186,54726434.47552093
3187,2363953.3542876947
3188,14085720.503543666
3189,95002452.25693303
3190,22083042.520828612
3191,5610301.222237088
3192,3205644.6471409677
3193,203354916.9631834
3194,46526909.24517533
3195,74720.43557699228
3196,4973040.982112013
3197,11504382.970776446
